time,router,average_response_ms,percent_packet_loss,count,state_ok,cpu_percent,mem_percent,fault_ping,fault_ospf,fault_bgp,fault_cpu,fault_mem,fault
2026-07-17 00:32:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:32:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:33:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:33:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:33:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:33:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:34:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:34:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:34:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:34:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:35:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:35:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:35:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:35:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:36:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:36:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:36:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:36:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:37:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:37:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:37:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:37:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:38:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:38:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:38:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:38:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:39:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:39:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:39:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:39:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:40:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:40:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:40:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:40:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:41:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:41:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:41:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:41:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:42:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:42:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:42:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:42:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:43:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:43:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:43:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:43:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:44:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:44:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:44:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:44:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:45:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:45:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:45:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:45:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:46:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:46:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:46:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:46:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:47:00,HO-Chennai,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:47:00,ZO-Bengaluru,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:47:00,BR-Koramangala,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-17 00:47:00,BR-Whitefield,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
