time,router,count,metric_type
2026-07-24 10:45:30+00:00,ho-chennai,0,routing
2026-07-24 10:46:00+00:00,br-whitefield,0,routing
2026-07-24 10:46:00+00:00,ho-chennai,0,routing
2026-07-24 10:46:00+00:00,br-koramangala,0,routing
2026-07-24 10:46:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:46:30+00:00,br-koramangala,0,routing
2026-07-24 10:46:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:46:30+00:00,br-whitefield,0,routing
2026-07-24 10:46:30+00:00,ho-chennai,0,routing
2026-07-24 10:47:00+00:00,br-whitefield,0,routing
2026-07-24 10:47:00+00:00,ho-chennai,0,routing
2026-07-24 10:47:00+00:00,br-koramangala,0,routing
2026-07-24 10:47:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:47:30+00:00,br-koramangala,0,routing
2026-07-24 10:47:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:47:30+00:00,br-whitefield,0,routing
2026-07-24 10:47:30+00:00,ho-chennai,0,routing
2026-07-24 10:48:00+00:00,br-whitefield,0,routing
2026-07-24 10:48:00+00:00,ho-chennai,0,routing
2026-07-24 10:48:00+00:00,br-koramangala,0,routing
2026-07-24 10:48:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:48:30+00:00,br-koramangala,0,routing
2026-07-24 10:48:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:48:30+00:00,br-whitefield,0,routing
2026-07-24 10:48:30+00:00,ho-chennai,0,routing
2026-07-24 10:49:00+00:00,br-whitefield,0,routing
2026-07-24 10:49:00+00:00,ho-chennai,0,routing
2026-07-24 10:49:00+00:00,br-koramangala,0,routing
2026-07-24 10:49:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:49:30+00:00,br-koramangala,0,routing
2026-07-24 10:49:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:49:30+00:00,br-whitefield,0,routing
2026-07-24 10:49:30+00:00,ho-chennai,0,routing
2026-07-24 10:50:00+00:00,br-whitefield,0,routing
2026-07-24 10:50:00+00:00,ho-chennai,0,routing
2026-07-24 10:50:00+00:00,br-koramangala,0,routing
2026-07-24 10:50:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:50:30+00:00,br-koramangala,0,routing
2026-07-24 10:50:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:50:30+00:00,br-whitefield,0,routing
2026-07-24 10:50:30+00:00,ho-chennai,0,routing
2026-07-24 10:51:00+00:00,br-whitefield,0,routing
2026-07-24 10:51:00+00:00,ho-chennai,0,routing
2026-07-24 10:51:00+00:00,br-koramangala,0,routing
2026-07-24 10:51:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:51:30+00:00,br-koramangala,0,routing
2026-07-24 10:51:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:51:30+00:00,br-whitefield,0,routing
2026-07-24 10:51:30+00:00,ho-chennai,0,routing
2026-07-24 10:52:00+00:00,br-whitefield,0,routing
2026-07-24 10:52:00+00:00,ho-chennai,0,routing
2026-07-24 10:52:00+00:00,br-koramangala,0,routing
2026-07-24 10:52:00+00:00,zo-bengaluru,0,routing
